Species	Accession	FTP
Escherichia coli strain RHBSTW-00322 	CP056598.1	None
Escherichia coli strain RHBSTW-00503 	CP056446.1	None
Escherichia coli strain RHBSTW-00562 	CP056404.1	None
Escherichia coli strain RHBSTW-00531 	CP056412.1	None
Escherichia coli strain RHBSTW-00822 	CP056315.1	None
Escherichia coli strain RHBSTW-00839 	CP056304.1	None
Escherichia coli strain RHBSTW-00849 	CP056299.1	None
Escherichia coli strain RHBSTW-00860 	CP056282.1	None
Escherichia coli strain RHBSTW-00863 	CP056278.1	None
Escherichia coli strain RHBSTW-00875 	CP056273.1	None
Escherichia coli strain RHBSTW-00895 	CP056263.1	None
Escherichia coli strain RHBSTW-00905 	CP056249.1	None
Escherichia coli strain RHBSTW-00906 	CP056248.1	None
Escherichia coli strain RHBSTW-00933 	CP056242.1	None
Escherichia coli strain RHBSTW-00941 	CP056237.1	None
Escherichia coli strain C7 	CP059279.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/694/465/GCA_013694465.1_ASM1369446v1
Escherichia coli strain SY3626_hybrid 	CP059283.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/694/345/GCA_013694345.1_ASM1369434v1
Escherichia coli strain C9 	CP059281.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/694/325/GCA_013694325.1_ASM1369432v1
Escherichia coli strain 1506 	CP059288.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/694/285/GCA_013694285.1_ASM1369428v1
Escherichia coli strain RHBSTW-00826 	CP055426.1	None
Escherichia coli strain RHBSTW-00622 	CP055438.1	None
Escherichia coli strain RHBSTW-00353 	CP055888.1	None
Escherichia coli strain RHB38-C23 	CP055608.1	None
Escherichia coli strain RHB38-C13 	CP055624.1	None
Escherichia coli strain RHB36-C13 	CP055631.1	None
Escherichia coli strain RHB34-C21 	CP055649.1	None
Escherichia coli strain RHB32-C08 	CP055652.1	None
Escherichia coli strain RHB31-C08 	CP055660.1	None
Escherichia coli strain RHB30-C19 	CP055669.1	None
Escherichia coli strain RHB19-C14 	CP055681.1	None
Escherichia coli strain 1517k 	CP054388.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/377/995/GCA_004377995.2_ASM437799v2
Escherichia coli strain RHB15-C06 	CP055713.1	None
Escherichia coli strain RHB13-C21 	CP055718.1	None
Escherichia coli strain RHB13-C14 	CP055724.1	None
Escherichia coli strain RHB12-C09 	CP055736.1	None
Escherichia coli strain RHB07-C12 	CP055748.1	None
Escherichia coli strain RHB07-C09 	CP055753.1	None
Escherichia coli strain RHB05-C24 	CP055761.1	None
Escherichia coli strain RHB05-C22 	CP055768.1	None
Escherichia coli strain RHB04-C20 	CP055786.1	None
Escherichia coli strain RHB04-C10 	CP055796.1	None
Escherichia coli strain RHB03-C22 	CP055818.1	None
Escherichia coli strain RHB03-C03 	CP055834.1	None
Escherichia coli strain RHB03-C02 	CP055842.1	None
Escherichia coli strain CE1628 	CP053852.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/459/175/GCA_013459175.1_ASM1345917v1
Escherichia coli strain CE1803A 	CP053851.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/459/015/GCA_013459015.1_ASM1345901v1
Escherichia coli strain 005008 	CP058661.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/426/115/GCA_013426115.1_ASM1342611v1
Escherichia coli strain WCHEC035125 	CP058656.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/426/095/GCA_013426095.1_ASM1342609v1
Escherichia coli strain WCHEC035123 	CP058651.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/426/075/GCA_013426075.1_ASM1342607v1
Escherichia coli strain 2D 	CP059003.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/425/955/GCA_013425955.1_ASM1342595v1
Escherichia coli strain SY3626C1 	CP059043.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/425/935/GCA_013425935.1_ASM1342593v1
Escherichia coli strain GW-AmxH19 	CP048647.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/706/435/GCA_010706435.1_ASM1070643v1
Escherichia coli strain SY3626C5 	CP058948.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/423/805/GCA_013423805.1_ASM1342380v1
Escherichia coli strain FT130 	CP040090.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/393/825/GCA_013393825.1_ASM1339382v1
Escherichia coli strain AMSCJX03 	CP058355.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/391/825/GCA_013391825.1_ASM1339182v1
Escherichia coli strain M1/5 	CP053296.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/390/265/GCA_013390265.1_ASM1339026v1
Escherichia coli strain 824422 	CP058231.1	None
Escherichia coli strain 818062 	CP058233.1	None
Escherichia coli strain AH65 	CP058302.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/389/695/GCA_013389695.1_ASM1338969v1
Escherichia coli strain AMSCJX04 	CP058308.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/389/615/GCA_013389615.1_ASM1338961v1
Escherichia coli strain ECOL-18-VL-LA-PA-Ryan-0026 	CP041392.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/012/305/GCA_007012305.1_ASM701230v1
Escherichia coli strain 357900 	CP038859.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/376/895/GCA_013376895.1_ASM1337689v1
Escherichia coli strain ARL09/232 	CP049967.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/376/575/GCA_013376575.1_ASM1337657v1
Escherichia coli strain 17MR471 	CP051158.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/376/515/GCA_013376515.1_ASM1337651v1
Escherichia coli strain CVM N18EC0432 	CP048290.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/935/215/GCA_012935215.1_ASM1293521v1
Escherichia coli strain EcPF5 	CP054236.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/372/425/GCA_013372425.1_ASM1337242v1
Escherichia coli strain EcPF7 	CP054232.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/372/405/GCA_013372405.1_ASM1337240v1
Escherichia coli strain EcPF14 	CP054230.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/372/385/GCA_013372385.1_ASM1337238v1
Escherichia coli strain EcPF15 	CP054227.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/372/365/GCA_013372365.1_ASM1337236v1
Escherichia coli strain EcPF16 	CP054224.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/372/345/GCA_013372345.1_ASM1337234v1
Escherichia coli strain EcPF18 	CP054219.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/372/325/GCA_013372325.1_ASM1337232v1
Escherichia coli strain EcPF40 	CP054214.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/372/305/GCA_013372305.1_ASM1337230v1
Escherichia coli strain AH62 	CP055259.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/371/745/GCA_013371745.1_ASM1337174v1
Escherichia coli strain AH25 	CP055256.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/371/725/GCA_013371725.1_ASM1337172v1
Escherichia coli strain AH01 	CP055251.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/371/685/GCA_013371685.1_ASM1337168v1
Escherichia coli strain SCU-321 	CP055158.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/368/055/GCA_013368055.1_ASM1336805v1
Escherichia coli strain MS6192 	CP054940.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/357/345/GCA_013357345.1_ASM1335734v1
Escherichia coli strain RM13322 	CP050498.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/357/365/GCA_013357365.1_ASM1335736v1
Escherichia coli strain SCU-204 	CP053251.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/085/905/GCA_013085905.3_ASM1308590v3
Escherichia coli O157:H7 strain MB41-1 	CP039834.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/343/595/GCA_013343595.1_ASM1334359v1
Escherichia coli strain SCU-478 isolate rectal swab from healthy college student 	CP054564.1	None
Escherichia coli strain SCU-478 isolate rectal swab from healthy college student 	CP054563.1	None
Escherichia coli strain LWY24 	CP054556.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/342/925/GCA_013342925.1_ASM1334292v1
Escherichia coli strain SCU-103 	CP054457.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/341/375/GCA_013341375.1_ASM1334137v1
Escherichia coli strain SCU-487 	CP054454.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/341/355/GCA_013341355.1_ASM1334135v1
Escherichia coli strain SCU-488 	CP054449.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/341/335/GCA_013341335.1_ASM1334133v1
Escherichia coli strain MS6193 	CP047405.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/317/085/GCA_013317085.1_ASM1331708v1
Escherichia coli strain SCU-107 	CP053384.1	None
Escherichia coli strain SCU-104 	CP053284.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/315/995/GCA_013315995.1_ASM1331599v1
Escherichia coli strain SCU-113 	CP051765.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/315/975/GCA_013315975.1_ASM1331597v1
Escherichia coli strain SCU-120 	CP054335.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/315/935/GCA_013315935.1_ASM1331593v1
Escherichia coli strain SCU-121 	CP054328.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/315/915/GCA_013315915.1_ASM1331591v1
Escherichia coli strain SCU-390 	CP054319.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/315/875/GCA_013315875.1_ASM1331587v1
Escherichia coli strain SCU-479 	CP054317.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/315/855/GCA_013315855.1_ASM1331585v1
Escherichia coli strain SCU-483 	CP054314.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/315/835/GCA_013315835.1_ASM1331583v1
Escherichia coli strain SCU-182 	CP054372.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/344/585/GCA_013344585.1_ASM1334458v1
Escherichia coli strain SCU-316 	CP054371.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/315/755/GCA_013315755.1_ASM1331575v1
Escherichia coli strain SCU-171 	CP054363.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/315/715/GCA_013315715.1_ASM1331571v1
Escherichia coli strain SCU-115 	CP054368.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/315/735/GCA_013315735.1_ASM1331573v1
Escherichia coli strain SCU-172 	CP054353.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/315/695/GCA_013315695.1_ASM1331569v1
Escherichia coli strain SCU-176 	CP054345.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/315/675/GCA_013315675.1_ASM1331567v1
Escherichia coli strain SCU-175 	CP054379.1	None
Escherichia coli strain ampC_0069 	CP046396.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/305/705/GCA_013305705.1_ASM1330570v1
Escherichia coli strain CFS3313 	CP026939.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/867/035/GCA_009867035.3_ASM986703v3
Escherichia coli strain CFS3273 	CP026932.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/866/945/GCA_009866945.3_ASM986694v3
Escherichia coli strain CFS3246 	CP026929.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/866/925/GCA_009866925.3_ASM986692v3
Escherichia coli strain NMBU_ W06E18 	CP047609.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/282/195/GCA_013282195.1_ASM1328219v1
Escherichia coli strain NMBU-W10C18 	CP044403.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/282/355/GCA_013282355.1_ASM1328235v1
Escherichia coli strain NMBU-W13E19 	CP043406.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/282/335/GCA_013282335.1_ASM1328233v1
Escherichia coli O10:H32 strain NMBU-W12E19 	CP042892.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/282/315/GCA_013282315.1_ASM1328231v1
Escherichia coli strain NMBU_W05E18 	CP042878.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/282/275/GCA_013282275.1_ASM1328227v1
Escherichia coli strain SCU-125 	CP051700.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/934/655/GCA_012934655.2_ASM1293465v2
Escherichia coli isolate J31 	CP053787.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/201/525/GCA_013201525.1_ASM1320152v1
Escherichia coli isolate 2-101 	CP053785.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/201/505/GCA_013201505.1_ASM1320150v1
Escherichia coli strain NEB5-alpha_F'Iq 	CP053607.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/075/GCA_013167075.1_ASM1316707v1
Escherichia coli strain Dam/Dcm 	CP053603.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/166/995/GCA_013166995.1_ASM1316699v1
Escherichia coli strain T7Express_Crystal 	CP053594.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/166/875/GCA_013166875.1_ASM1316687v1
Escherichia coli strain CP55_Sichuan 	CP053731.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/201/255/GCA_013201255.1_ASM1320125v1
Escherichia coli strain CP8-3_Sichuan 	CP053736.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/201/235/GCA_013201235.1_ASM1320123v1
Escherichia coli strain CP66-6_Sichuan 	CP053723.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/201/195/GCA_013201195.1_ASM1320119v1
Escherichia coli strain CP61_Sichuan 	CP053730.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/201/215/GCA_013201215.1_ASM1320121v1
Escherichia coli strain CP131_Sichuan 	CP053720.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/201/175/GCA_013201175.1_ASM1320117v1
Escherichia coli strain CFS3292 	CP026935.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/867/015/GCA_009867015.2_ASM986701v2
Escherichia coli O157:H7 strain 611 	CP038428.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/168/255/GCA_013168255.1_ASM1316825v1
Escherichia coli O157:H7 strain 2571 	CP038425.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/168/235/GCA_013168235.1_ASM1316823v1
Escherichia coli O157:H7 strain 7409 	CP038423.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/168/215/GCA_013168215.1_ASM1316821v1
Escherichia coli O157:H7 strain 7636 	CP038421.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/168/195/GCA_013168195.1_ASM1316819v1
Escherichia coli O157:H7 strain 2-6-2 	CP038419.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/168/175/GCA_013168175.1_ASM1316817v1
Escherichia coli O157:H7 strain 3-5-1 	CP038416.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/168/155/GCA_013168155.1_ASM1316815v1
Escherichia coli O157:H7 strain 17B6-2 	CP038414.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/168/135/GCA_013168135.1_ASM1316813v1
Escherichia coli O157:H7 strain 493/89 	CP038412.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/168/115/GCA_013168115.1_ASM1316811v1
Escherichia coli O157:H7 strain 86-24 	CP038408.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/168/095/GCA_013168095.1_ASM1316809v1
Escherichia coli O157:H7 strain ATCC 35150 	CP038405.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/168/075/GCA_013168075.1_ASM1316807v1
Escherichia coli O157:H7 strain BB24-1 	CP038402.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/168/055/GCA_013168055.1_ASM1316805v1
Escherichia coli O157:H7 strain DEC4E 	CP038398.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/168/035/GCA_013168035.1_ASM1316803v1
Escherichia coli O157:H7 strain E32511 	CP038380.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/875/GCA_013167875.1_ASM1316787v1
Escherichia coli O157:H7 strain F1273 	CP038376.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/815/GCA_013167815.1_ASM1316781v1
Escherichia coli O157:H7 strain F3113 	CP038374.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/795/GCA_013167795.1_ASM1316779v1
Escherichia coli O157:H7 strain F6294 	CP038372.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/775/GCA_013167775.1_ASM1316777v1
Escherichia coli O157:H7 strain F6321 	CP038369.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/755/GCA_013167755.1_ASM1316775v1
Escherichia coli O157:H7 strain F6667 	CP038366.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/735/GCA_013167735.1_ASM1316773v1
Escherichia coli O157:H7 strain F7349 	CP038363.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/715/GCA_013167715.1_ASM1316771v1
Escherichia coli O157:H7 strain F7386 	CP038360.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/695/GCA_013167695.1_ASM1316769v1
Escherichia coli O157:H7 strain F7508 	CP038357.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/675/GCA_013167675.1_ASM1316767v1
Escherichia coli O157:H7 str. F8092B 	CP038355.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/655/GCA_013167655.1_ASM1316765v1
Escherichia coli O157:H7 strain F8797 	CP038353.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/635/GCA_013167635.1_ASM1316763v1
Escherichia coli O157:H7 strain F8798 	CP038351.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/615/GCA_013167615.1_ASM1316761v1
Escherichia coli O157:H7 strain F8952 	CP038349.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/595/GCA_013167595.1_ASM1316759v1
Escherichia coli O157:H7 strain G5295 	CP038346.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/575/GCA_013167575.1_ASM1316757v1
Escherichia coli O157:H7 strain Gim1-1 	CP038344.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/555/GCA_013167555.1_ASM1316755v1
Escherichia coli O157:H7 strain H2495 	CP038342.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/535/GCA_013167535.1_ASM1316753v1
Escherichia coli O157:H7 strain H6437 	CP038339.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/515/GCA_013167515.1_ASM1316751v1
Escherichia coli O157:H7 strain LSU61 	CP038336.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/495/GCA_013167495.1_ASM1316749v1
Escherichia coli O157:H7 strain N8B7-2 	CP038333.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/475/GCA_013167475.1_ASM1316747v1
Escherichia coli O157:H7 strain NE 1092-2 	CP038328.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/455/GCA_013167455.1_ASM1316745v1
Escherichia coli O157:H7 strain NE 1169-1 	CP038324.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/435/GCA_013167435.1_ASM1316743v1
Escherichia coli O157:H7 strain NE1127 	CP038321.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/415/GCA_013167415.1_ASM1316741v1
Escherichia coli O157:H7 strain NE122 	CP038319.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/395/GCA_013167395.1_ASM1316739v1
Escherichia coli O157:H7 strain NE92 	CP038316.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/375/GCA_013167375.1_ASM1316737v1
Escherichia coli O157:H7 strain OK1 	CP038313.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/355/GCA_013167355.1_ASM1316735v1
Escherichia coli O157:H7 strain Show KS 470-1 	CP038309.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/335/GCA_013167335.1_ASM1316733v1
Escherichia coli O157:H7 strain SS NE 1040-1 	CP038305.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/315/GCA_013167315.1_ASM1316731v1
Escherichia coli O157:H7 strain SS TX 313-1 	CP038302.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/295/GCA_013167295.1_ASM1316729v1
Escherichia coli O157:H7 strain SS TX 754-1 	CP038300.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/275/GCA_013167275.1_ASM1316727v1
Escherichia coli O157:H7 strain TB21-1 	CP038292.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/235/GCA_013167235.1_ASM1316723v1
Escherichia coli O157:H7 strain TX 265-1 	CP038290.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/195/GCA_013167195.1_ASM1316719v1
Escherichia coli O157:H7 strain TX 376-2 	CP038287.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/175/GCA_013167175.1_ASM1316717v1
Escherichia coli O157:H7 strain YB14-1 	CP038284.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/155/GCA_013167155.1_ASM1316715v1
Escherichia coli O157:H7 strain F8492 	CP038282.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/135/GCA_013167135.1_ASM1316713v1
Escherichia coli strain T7Express_LysY 	CP053597.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/166/895/GCA_013166895.1_ASM1316689v1
Escherichia coli strain T7Express_LysYIq 	CP053595.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/166/915/GCA_013166915.1_ASM1316691v1
Escherichia coli BL21(DE3) 	CP053602.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/015/GCA_013167015.1_ASM1316701v1
Escherichia coli strain NEBExpress_Iq 	CP053592.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/166/855/GCA_013166855.1_ASM1316685v1
Escherichia coli strain NEB10-beta 	CP053604.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/035/GCA_013167035.1_ASM1316703v1
Escherichia coli strain Nico21(DE3) 	CP053600.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/166/955/GCA_013166955.1_ASM1316695v1
Escherichia coli strain NEBExpress 	CP053599.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/166/935/GCA_013166935.1_ASM1316693v1
Escherichia coli BL21 	CP053601.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/166/975/GCA_013166975.1_ASM1316697v1
Escherichia coli strain NEB_Turbo 	CP053605.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/055/GCA_013167055.1_ASM1316705v1
Escherichia coli strain GF3-3 	CP053259.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/112/335/GCA_013112335.1_ASM1311233v1
Escherichia coli strain GF4-3 	CP053258.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/122/565/GCA_013122565.1_ASM1312256v1
Escherichia coli strain SCU-308 	CP053281.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/085/865/GCA_013085865.1_ASM1308586v1
Escherichia coli strain SCU-306 	CP053231.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/084/945/GCA_013084945.1_ASM1308494v1
Escherichia coli strain SCU-106 	CP053234.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/085/185/GCA_013085185.1_ASM1308518v1
Escherichia coli strain SCU-485 	CP053245.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/085/205/GCA_013085205.1_ASM1308520v1
Escherichia coli strain SCU-482 	CP053247.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/085/025/GCA_013085025.1_ASM1308502v1
Escherichia coli strain RM11911 	CP044313.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/761/495/GCA_008761495.2_ASM876149v2
Escherichia coli strain SJ7 	CP044315.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/761/535/GCA_008761535.3_ASM876153v3
Escherichia coli strain RM13745 	CP044312.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/761/475/GCA_008761475.2_ASM876147v2
Escherichia coli strain RM13752 	CP044311.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/761/455/GCA_008761455.2_ASM876145v2
Escherichia coli strain C21 	CP052877.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/974/525/GCA_012974525.1_ASM1297452v1
Escherichia coli strain SCU-101 	CP048920.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/974/565/GCA_012974565.1_ASM1297456v1
Escherichia coli strain ATCC 25922 	CP037449.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/974/805/GCA_012974805.1_ASM1297480v1
Escherichia coli strain SCU-387 	CP051688.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/934/765/GCA_012934765.1_ASM1293476v1
Escherichia coli strain SCU-318 	CP051692.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/934/735/GCA_012934735.1_ASM1293473v1
Escherichia coli strain SCU-313 	CP051694.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/934/715/GCA_012934715.1_ASM1293471v1
Escherichia coli strain SCU-152 	CP051698.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/934/675/GCA_012934675.1_ASM1293467v1
Escherichia coli strain SCU-124 	CP051706.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/934/635/GCA_012934635.1_ASM1293463v1
